,LEMMA,unknown1,ROOT,ROOT_PATTERN_STATUS,PATTERN_LEMMA_PROPOSED,Pattern Count,FORM,unknown2,pos,Rat,Gen,Num,COND-S,COND-T,GLOSS,STATUS,PATTERN STATUS,Lex Count,Ar Lemma,MSA LEMMA Cognate,OLD Status,60.57%,MISSING ENTRIES,comment
0,*akiy,,*.k.y,LOOKUP_DEDIAC-1,1a2i3,1470,*ak,,adj,,,,#iy~,MS||MD||MP||FS||FD||FP,clever;intelligent;delicious,OK,OK,1,ذَكِي,ذَكِيّ,QC-DONE,,,
1,*Alil,,*.l.l,BACKOFF-1,1A2i3,1470,*Ali#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,ACTPART,OK,1,ذالِل,,QC-DONE,,,
2,$A*i*,,$.*.*,BACKOFF-1,1A2i3,1470,$A*i#*,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاذِذ,,QC-DONE,,,
3,$Abib,,$.b.b,BACKOFF-1,1A2i3,1470,$Abi#b,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شابِب,,QC-DONE,,,
4,$AbiE,,$.b.E,BACKOFF-1,1A2i3,1470,$Abi#E,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شابِع,,QC-DONE,,,
5,$Abik,,$.b.k,BACKOFF-1,1A2i3,1470,$Abi#k,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شابِك,,QC-DONE,,,
6,$Abir,,$.b.r,BACKOFF-1,1A2i3,1470,$Abi#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شابِر,,QC-DONE,,,
7,$AbiT,,$.b.T,BACKOFF-1,1A2i3,1470,$Abi#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شابِط,,QC-DONE,,,
8,$Adid,,$.d.d,BACKOFF-1,1A2i3,1470,$Adi#d,,adj,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,2,شادِد,,QC-DONE,,,
9,$Adih,,$.d.h,BACKOFF-1,1A2i3,1470,$Adi#h,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شادِه,,QC-DONE,,,
10,$ahiy,,$.h.y,BACKOFF-1,1a2i3,1470,$ah,,adj,,,,#iy~,MS||MD||MP||FS||FD||FP,delicious,OK,OK,2,شَهِي,,QC-DONE,,,
11,$Adir,,$.d.r,LOOKUP_DIAC-1,1A2i3,1470,$Adir,,noun,,,,,MS||MD,storehouse;storehouses,OK,OK,1,شادِر,شادِر,DONE,,,
12,$aris,,$.r.s,LOOKUP_DIAC-1,1a2i3,1470,$aris,,adj,,,,,MS||MD||MP||FS||FD||FP,vicious,OK,OK,1,شَرِس,"شَرَس, شَرِس",QC-DONE,,,
13,$Adix,,$.d.x,BACKOFF-1,1A2i3,1470,$Adi#x,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شادِخ,,QC-DONE,,,
14,$AEiE,,$.E.E,BACKOFF-1,1A2i3,1470,$AEi#E,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاعِع,,QC-DONE,,,
15,$AEif,,$.E.f,BACKOFF-1,1A2i3,1470,$AEi#f,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاعِف,,QC-DONE,,,
16,$AEil,,$.E.l,BACKOFF-1,1A2i3,1470,$AEi#l,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاعِل,,QC-DONE,,,
17,$AEir,,$.E.r,LOOKUP_DIAC-1,1A2i3,1470,$uEarA,,noun,,,p,,MS ,feeling;sensing;being_aware;poet;poets,OK,OK,2,شاعِر,شاعِر,QC-DONE,,,
18,$AEir,,$.E.r,LOOKUP_DIAC-1,1A2i3,1470,$AEi#r,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,feeling;sensing;being_aware;poet;poets,OK,OK,2,شاعِر,شاعِر,QC-DONE,,,
19,$AEiT,,$.E.T,BACKOFF-1,1A2i3,1470,$AEi#T,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شاعِط,,QC-DONE,,,
20,$AfiE,,$.f.E,LOOKUP_DIAC-1,1A2i3,1470,$Afi#E,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,arbiter;referee;arbiters;referees;judge;empower;control;final;mediator;intercessor;mediators;intercessors,OK,OK,1,شافِع,شافِع,QC-DONE,,,
21,$Afif,,$.f.f,BACKOFF-1,1A2i3,1470,$Afi#f,,adj/noun,,,,,MS||MD||MP||FS||FD||FP,TBA,OK,OK,1,شافِف,,QC-DONE,,,
