All~`h	noun_prop	25486
>aHad~	adj_comp	25384
>ay~	noun_quant	24467
>ay~	pron_interrog	24414
>ay~	pron_rel	24372
|n	noun	24148
>aHad	noun	24107
>aHad	noun	23086
>aHad	noun_num	22810
man~	noun	21870
fiy	prep	18370
Ealiy~	noun_prop	16322
Ealiy~	adj	16185
EalaY	noun	15386
>an~a	conj_sub	14374
lay~	noun	14197
y	noun_prop	14085
>an~ap	noun	12743
kul~	noun_quant	12110
lA	part_neg	11832
>an~	verb	11832
Eal~aY	verb	11785
mi$~	noun	11718
y	abbrev	11256
lay~	noun	10697
wanaY	verb	10076
ma$~	noun	10050
|yap	noun	9871
>aHad~	verb	9700
man~	verb	8909
EalaY	prep	8860
>a	part_interrog	8066
lA	conj	7794
lA	verb_pseudo	7794
lA	interj	7794
min	prep	7781
>ano	conj_sub	7716
<in~a	verb_pseudo	7668
muSir~	adj	7450
kurap	noun	7067
A	noun_prop	6924
>aham~	verb	6824
kar~	noun	6724
miSor	noun_prop	6554
.	punc	6036
mano	pron_rel	5983
mano	pron_interrog	5983
>aw~al	adj_num	5928
<in~	conj_sub	5918
lA	noun_prop	5719
|n	verb	5718
ham~	noun	5527
Had~	verb	5488
>aEomal	verb	5134
>aH~	noun	5124
kAn	verb	5005
lakan	noun	4887
|liy~	adj	4861
>anA	pron	4838
qAl	verb	4772
>anaY	verb	4716
>aH~ad	verb	4704
min	part	4678
ham~	verb	4648
man~	verb	4604
rab~	noun	4597
>anaY	noun	4536
EanaY	verb	4471
>aSar~	verb	4467
<ino	conj_sub	4446
yawom	noun	4374
|an	verb	4357
>aman~	verb	4230
>azomap	noun	4206
gayor	noun	4203
>aboqaY	verb	4139
wahaY	verb	4129
nAs	noun	4096
kaw~an	verb	4049
Ear~af	verb	4004
<in	abbrev	3986
dawolap	noun	3978
wAHid	noun_num	3963
ly	noun_prop	3932
HAjap	noun	3932
Eamil	verb	3912
rab~	noun	3889
majolis	noun	3850
Haq~	noun	3824
waham	verb	3704
An	noun_prop	3638
buEod	noun	3632
EAwiz	adj	3576
na>aY	verb	3562
>ano>aY	verb	3560
ra>oy	noun	3536
fy	noun_prop	3535
ra>aY	verb	3504
fiy	abbrev	3468
HAjap	noun	3459
Earaf	verb	3438
maE	noun	3396
$aEob	noun	3396
ba>ar	verb	3358
balad	noun	3315
Had~	noun	3307
kan~	noun	3270
lA	conj	3249
lA	interj	3249
lA	verb_pseudo	3249
mA	pron_rel	3169
qAl	verb	3169
>anA	noun	3150
w	noun_prop	3146
rub~	noun	3136
min	noun_prop	3125
EArif	noun	3080
>aham~	adj_comp	3075
<ilaY	prep	3073
kamAn	noun	3031
kad~	noun	3014
Ean~aY	verb	2997
mn	noun_prop	2981
wa	conj	2978
>an~	verb	2974
Had~	noun	2970
yin	noun	2950
baEod	noun	2936
waliy	verb	2891
miSoriy~	noun	2888
|an	noun	2881
|an	noun_prop	2881
lh	noun_prop	2845
nafos	noun	2798
karih	adj	2768
$uEobap	noun	2762
>ano>aY	noun	2746
na>oy	noun	2746
baqiy	verb	2742
karoh	noun	2736
kuroh	noun	2736
HAj~	noun	2732
$iEob	noun	2696
mun~ap	noun	2673
man~aY	verb	2670
Had~	verb	2669
wAHid	noun_prop	2667
buEod	noun	2661
niEom	noun	2660
ra>oy	noun_prop	2650
>um~	noun	2641
min~ap	noun	2638
kAn	verb	2630
miSoriy~	adj	2624
HadA	verb	2603
ziy~	noun	2591
walA	part_neg	2576
>akal	verb	2548
EArif	adj	2544
za>or	noun	2530
>aman~	adj_comp	2518
lam~	noun	2515
Einod	noun	2512
niEomap	noun	2502
>amon	noun	2498
Eiliy	verb	2436
Alliy	pron_rel	2432
ka>an~a	verb_pseudo	2411
nafas	noun	2398
kalAm	noun	2348
|lap	noun	2338
Sar~	verb	2322
<isorA}iyl	noun_prop	2308
baqaY	verb	2301
ma>on	noun	2284
yh	noun_prop	2283
Ain~ap	noun	2283
kul~	noun	2276
Allh	noun_prop	2275
*ul~	noun	2250
|n	verb	2245
mA	noun_prop	2242
>ahol	noun	2225
lay~ap	noun	2217
lay~ap	noun	2211
qat~	noun	2199
>akiyd	adj	2195
waEaY	verb	2180
gay~ar	verb	2179
lAzim	adj	2103
HAd	verb	2101
HAd	verb	2097
>akiyd	noun	2097
lAzim	noun	2090
|zim	adj	2082
|zim	noun	2082
|xar	adj	2080
|xir	adj_comp	2077
>ax	noun	2073
$awiy~	adj	2063
>ahol	adj	2040
All~ah	noun_prop	2021
nafos	noun	2011
Ally	noun_prop	2000
qad~	noun	1997
Ead~	noun	1993
quw~ap	noun	1981
<in	conj_sub	1977
Ely	noun_prop	1973
ma$~	verb	1970
jad~	noun	1960
manaY	verb	1949
HaSal	verb	1948
